Elapsed Time (ms),Skydel SV ID,Slot,GPS TOW,GPS Week Number,Subframe,Page,Navigation Message (Hex),Modified
8000,18,18,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,19,19,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,20,20,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,21,21,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,22,22,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,23,23,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
8000,24,24,388808.000,2279,5,11,69A5AAA5 655A599A 96A56695 95559AAA 55AAA695 557E3750 96000000,No
10000,1,1,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,2,2,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,3,3,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,4,4,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,5,5,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,6,6,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,7,7,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,8,8,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,9,9,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,10,10,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,11,11,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,12,12,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,13,13,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,14,14,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,15,15,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,16,16,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,17,17,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,18,18,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,19,19,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,20,20,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,21,21,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
